alacritty 0.16.1-1
audacity 1:3.7.7-1
base 3-2
blender 17:5.0.1-2
blueman 2.4.6-2
bluez-utils 5.85-1
brave-bin 1:1.85.116-1
brightnessctl 0.5.1-3
cliphist 1:0.7.0-1
cudnn 9.18.0.77-1
discord 1:0.0.121-1
fastfetch 2.58.0-1
flatpak 1:1.16.3-1
gimp 3.0.6-2
git-lfs 3.7.1-1
glad 2.0.8-3
gnome-calculator 49.2-1
grub 2:2.14-1
hypridle 0.1.7-6
hyprland 0.53.2-1
hyprlock 0.9.2-8
hyprpaper 0.8.1-1
hyprshot 1.3.0-4
lib32-libcanberra 1:0.30+r2+gc0620e4-4
light 1.2.2-5
lunar-client 3.5.2-1
mako 1.10.0-1
materia-gtk-theme 20210322-4
mesa-utils 9.0.0-7
miniconda3 25.5.1.1-2
nano 8.7-1
nemo 6.6.3-1
network-manager-applet 1.36.0-1
nodejs 25.3.0-1
nvidia-open 590.48.01-8
nwg-look 1.0.6-1
ollama 0.14.3-1
pamixer 1.6-3
pavucontrol 1:6.2-1
piper 0.8-3
power-profiles-daemon 0.30-1
rofi 2.0.0-1
sof-firmware 2025.12.1-1
spotify 1:1.2.63.394-1
steam 1.0.0.85-1
sxiv 26-2
ttf-jetbrains-mono 2.304-2
ttf-nerd-fonts-symbols 3.4.0-1
visual-studio-code-bin 1.105.0-1
vlc 3.0.21-32
waybar 0.14.0-6
wf-recorder 0.6.0-1
wget 1.25.0-3
yay 12.5.7-1
yay-debug 12.5.7-1
